省,村名,站点,编号,签约时间,开业时间,银行,卡数,存款数,卡均
河北省,张家口市下花园区花园乡下花园区孟家坟,下花园区花园乡孟家坟村,13070026,2014/4/4 20:04,,中国银行,179,477702,2668.726257
河北省,石家庄市正定县新城铺镇小邯村,正定县新城铺镇小邯村,13010055,2014/4/8 0:00,,中国银行,1084,51371266,47390.46679
河北省,石家庄市井陉县吴家窑乡吴家窑,井陉吴家窑乡吴家窑村,13010056,2014/4/10 11:41,2014/5/20 0:00,中国银行,685,8007973,11690.47153
河北省,沧州市献县乐寿镇郭庄村,献县郭庄镇大郭庄村,13090113,2014/4/11 9:31,2014/4/11 0:00,中国银行,159,48368.9,304.206918
河北省,沧州市任邱市议论堡乡东大务村,任丘市议论堡乡东大坞村,13090114,2014/4/12 15:11,2014/5/20 0:00,中国银行,139,743544,5349.23741
河北省,石家庄市赵县北王里镇黄市村,赵县北王里镇黄市村,13010058,2014/4/14 9:47,2014/3/28 0:00,中国银行,430,11046011,25688.39767
河北省,张家口市万全县郭磊庄镇万全县阳门堡村,万全县阳门堡村助农服务点,13070028,2014/4/15 20:24,,中国银行,488,848133,1737.977459
河北省,张家口市万全县安家堡乡万全县邹家庄村,万全县邹家庄村助农服务点,13070029,2014/4/15 20:37,,中国银行,610,3717320,6093.967213
河北省,石家庄市平山县平山镇王母村,平山县平山镇王母村,13010059,2014/4/16 10:42,,中国银行,163,2322366,14247.64417
河北省,沧州市沧县大官厅乡大鹅庄,沧县大官厅乡大鹅庄村,13090115,2014/4/17 0:00,,中国银行,343,1995014,5816.367347
河北省,沧州市黄骅市南排河镇歧口村,黄骅市南排河镇歧口村,13090116,2014/4/17 0:00,,中国银行,660,7920792,12001.2
河北省,石家庄市平山县西大吾乡田兴村,平山县大吾乡田兴村,13010060,2014/4/17 9:43,,中国银行,534,2722945,5099.14794
河北省,沧州市河间市故仙乡东羊庄,河间市故仙镇东羊庄,13090117,2014/4/17 11:30,2014/3/28 0:00,中国银行,487,4682314,9614.607803
河北省,衡水市安平县安平镇西王庄村,安平镇西王庄村,13110153,2014/4/17 16:50,2014/5/14 0:00,中国银行,252,3177972,12611
