省,村名,站点,编号,签约时间,开业时间,银行,卡数,存款数,卡均
河北省,衡水市冀州市南午村镇王瓦窑,南午村镇王瓦窑村,13110001,2013/10/22 14:13,2013/7/6 0:00,中国银行,550,7202948.5,13096.27
河北省,衡水市深州市穆村乡王庄村,穆村乡王庄,13110002,2013/10/22 16:53,2013/4/18 0:00,中国银行,639,8202106,12835.84664
河北省,衡水市饶阳县东里满乡固店,饶阳县东里满乡固店村,13110004,2013/10/28 14:15,2013/9/17 0:00,中国银行,413,3817429,9243.169492
河北省,衡水市饶阳县东里满乡小堤村,饶阳县东里满乡小堤村,13110005,2013/10/28 14:47,,中国银行,729,8146342,11174.68038
河北省,衡水市饶阳县东里满乡桑园,饶阳县东里满乡桑园村,13110006,2013/10/28 15:15,2013/7/14 0:00,中国银行,332,2289962.8,6897.478313
河北省,衡水市饶阳县五公镇北官庄村,饶阳县五公镇北官庄村,13110007,2013/10/28 15:37,2013/8/26 0:00,中国银行,381,5212063.5,13679.95669
河北省,衡水市饶阳县大官亭乡西张岗,饶阳县官亭镇西张岗村,13110008,2013/10/28 15:59,2013/7/17 0:00,中国银行,316,2280204.8,7215.837975
河北省,衡水市深州市唐奉镇赵八庄村,唐奉镇赵八庄,13110009,2013/10/28 16:57,,中国银行,1190,10997280,9241.411765
河北省,衡水市深州市太古庄乡郭庄村,高古庄镇郭庄,13110010,2013/10/28 17:18,2013/5/15 0:00,中国银行,383,2900540.8,7573.213577
河北省,衡水市冀州市西王镇水泊张,西王镇水泊张村,13110011,2013/10/29 9:21,2013/8/28 0:00,中国银行,247,1145463.8,4637.505263
河北省,衡水市冀州市门庄乡东堤北村,门庄乡东堤北村,13110012,2013/10/29 9:35,2013/6/5 0:00,中国银行,1547,21226024,13720.76535
河北省,衡水市冀州市南午村镇孟岭,南午村镇孟岭村,13110014,2013/10/29 10:21,2013/8/27 0:00,中国银行,475,4506199.5,9486.735789
河北省,衡水市冀州市南午村镇田村,南午村镇田村,13110015,2013/10/29 10:45,2013/8/24 0:00,中国银行,437,5672768.5,12981.16362
河北省,衡水市冀州市西王镇西吕津,西王镇西吕津村,13110016,2013/10/29 11:01,2013/9/3 0:00,中国银行,987,12627298,12793.615
河北省,衡水市枣强县马屯镇吉科村,马屯镇吉科村,13110017,2013/10/29 15:24,2013/9/18 0:00,中国银行,203,234450.05,1154.926355
河北省,衡水市饶阳县大尹村镇大迁民,饶阳县大尹村镇大迁民庄,13110018,2013/10/29 16:32,2013/9/13 0:00,中国银行,422,5327897.5,12625.34953
河北省,衡水市饶阳县大尹村镇南流满村,饶阳县大尹村镇南流满村,13110019,2013/10/29 16:50,,中国银行,280,1018760.06,3638.428786
河北省,衡水市桃城区赵家圈镇前王家村,赵圈镇前王庄村,13110021,2013/10/30 10:05,,中国银行,198,2705748.2,13665.39495
河北省,衡水市武邑县赵桥镇夹河村,赵桥镇夹河村,13110022,2013/10/30 10:22,,中国银行,299,1880543,6289.441472
河北省,衡水市枣强县新屯乡新屯镇西岳庄,新屯镇西岳庄,13110023,2013/10/30 11:05,,中国银行,79,199807.84,2529.213165
河北省,衡水市枣强县马屯镇肖张镇张仓口,肖张镇张仓口,13110024,2013/10/30 11:28,2013/12/26 0:00,中国银行,101,1585800.5,15700.99505
河北省,衡水市枣强县嘉会镇嘉会镇马田村,嘉会镇马田村,13110025,2013/10/30 11:38,2013/10/8 0:00,中国银行,255,4513929,17701.68235
河北省,衡水市武强县街关镇郑家,武强县街关镇郑家村,13110030,2013/10/30 14:13,2014/1/23 0:00,中国银行,181,2025336.1,11189.70221
河北省,衡水市安平县大何庄乡长汝,大何庄乡长汝村,13110031,2013/10/30 14:44,,中国银行,529,3908337.2,7388.161059
河北省,衡水市安平县南王庄镇南王庄,南王庄镇南王庄村,13110032,2013/10/30 14:55,2013/11/26 0:00,中国银行,844,11596988,13740.50711
河北省,衡水市武强县豆村乡南孙庄,武强县豆村乡南孙庄村,13110033,2013/10/30 15:25,,中国银行,181,2242928.5,12391.87017
