,省,村名,站点,编号,签约时间,开业时间,银行,卡数,存款数,卡均,开业时间2,签约时间2,存款数2
5683,山东省,威海市荣成市斥山街道办事处西泊子村,荣成市斥山街道办事处西泊子村,3710820060019,2016-05-25 00:00:00,,中国银行,0,300700.0,\N,-9223372036854775808,83,30.07
5684,河北省,石家庄市正定县南牛乡牛家庄村,正定县南牛乡牛家庄村平安,1301232000016,2016-05-25 00:00:00,,平安银行,0,0.0,\N,-9223372036854775808,83,0.0
5685,山东省,威海市环翠区崮山镇北虎口村,环翠区崮山镇北虎口村,3710021030005,2016-05-25 00:00:00,,中国银行,0,9300613.34,\N,-9223372036854775808,83,930.061334
5686,山东省,威海市文登市小观镇初家园村,文登区初家园村助农服务点,3710811080008,2016-05-25 00:00:00,,中国银行,30,18387417.58,612913.9193,-9223372036854775808,83,1838.741758
5687,山东省,潍坊市寒亭区固堤镇北寨里一村,寒亭区固堤镇北仲寨村,3707031000014,2016-05-25 00:00:00,,工商银行,0,0.0,\N,-9223372036854775808,83,0.0
5688,山东省,威海市环翠区草庙子镇北台村,环翠区草庙子镇北台村,3710021070006,2016-05-25 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,83,0.0
5689,山东省,烟台市招远市泉山街道孙家疃村,招远市泉山街道孙家疃村,3706850020008,2016-05-25 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,83,0.0
5690,河北省,沧州市东光县南霞口镇东塘上村,东光县南霞口镇东塘上村,1309231050012,2016-05-28 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,80,0.0
5691,河北省,石家庄市无极县东侯坊乡南候坊村,无极县东侯坊乡南候坊村,1301302020013,2016-05-25 00:00:00,,张家口银行,0,0.0,\N,-9223372036854775808,83,0.0
5692,山东省,临沂市平邑县丰阳镇大城西村,平邑县丰阳镇大城西村,3713261130014,2016-05-25 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,83,0.0
5693,山东省,临沂市平邑县丰阳镇三寨村,平邑县丰阳镇三寨村,3713261130015,2016-05-25 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,83,0.0
5694,河北省,唐山市遵化市西下营满族乡西下营东关村,遵化市西下营满族乡西下营东关村,1302812030004,2016-05-25 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,83,0.0
5695,河北省,沧州市青县新兴镇辛集村,青县新兴镇辛集村,1309221020022,2016-05-25 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,83,0.0
