省,村名,站点,编号,签约时间,开业时间,银行,卡数,存款数,卡均
江苏省,盐城市盐都区北蒋镇盛花村,盐都区秦南镇盛花村,32090114,2015/1/14 9:59,2015/1/14 9:59,中国银行,0,0,\N
江苏省,盐城市盐都区义丰镇大范村,大纵湖镇网点,32090115,2015/1/14 10:03,2015/1/14 10:03,中国银行,0,0,\N
河南省,南阳市南召县四棵树乡疙瘩坡村,南召县四棵树疙瘩坡村助农点,41130031,2015/1/14 10:06,2015/1/14 10:06,中国银行,371,2291778.4,6177.30027
山东省,淄博市沂源县东里镇福禄坪峪村,淄博市沂源县东里镇福禄坪村助农服务点,37030083,2015/1/14 10:19,2015/1/14 10:19,中国银行,1499,6140330.52,4096.284536
河北省,沧州市盐山县圣佛镇兴隆店村,辛店五金城助农取款点,13090213,2015/1/14 10:21,2015/1/14 10:21,中国银行,240,60000,250
江苏省,盐城市盐都区大冈镇兴隆村,新场村网点,32090116,2015/1/14 10:24,2015/1/14 10:24,中国银行,0,0,\N
河北省,沧州市盐山县常庄乡崔家村,盐山县常庄乡崔家村,13090214,2015/1/14 10:24,2015/1/14 10:24,中国银行,49,20000,408.163265
江苏省,盐城市盐都区潘黄镇先锋村,先锋村网点,32090117,2015/1/14 10:31,2015/1/14 10:31,中国银行,0,0,\N
河北省,沧州市沧县旧州镇强庄子村,沧县旧州镇强庄子村,13090215,2015/1/14 10:55,2015/1/14 10:55,中国银行,261,2880000,11034.48276
河北省,石家庄市赵县新寨店镇北解家町村,赵县新寨店镇北解家疃村,13010369,2015/1/14 10:56,2015/1/14 10:56,中国银行,830,27930000,33650.60241
河北省,沧州市沧县张官屯乡东砖河村,沧县张官屯乡东砖河村,13090216,2015/1/14 10:57,2015/1/14 10:57,中国银行,171,140000,818.71345
河北省,唐山市古冶区卑家店乡毛山村,古冶区卑家店乡毛山村,13020284,2015/1/14 11:01,2015/1/14 11:01,中国银行,1350,6220000,4607.407407
河北省,唐山市丰润区银城铺乡南陈庄子村,唐山市丰润区银城铺镇南陈庄子村,13020286,2015/1/14 11:02,2015/1/14 11:02,中国银行,1424,16170000,11355.33708
河北省,唐山市乐亭县马头营镇新庄子村,乐亭县马头营镇达新庄子村,13020289,2015/1/14 11:07,2015/1/14 11:07,中国银行,1022,640000,626.223092
河北省,唐山市玉田县潮洛窝乡南兴庄村,玉田县潮洛窝乡南兴庄村,13020290,2015/1/14 11:08,2015/1/14 11:08,中国银行,262,5100000,19465.64886
河北省,沧州市沧县姚官屯乡窦店村,沧县姚官屯乡窦店村,13090220,2015/1/14 11:08,2015/1/14 11:08,中国银行,244,290000,1188.52459
河北省,唐山市丰润区七树庄镇七树庄村,丰润区七树庄镇七树庄村,13020291,2015/1/14 11:09,2015/1/14 11:09,中国银行,7707,7690000,997.794213
河北省,唐山市丰润区老庄子镇七王庄村,丰润区老庄子镇七王村,13020292,2015/1/14 11:11,2015/1/14 11:11,中国银行,215,3230000,15023.25581
河北省,沧州市沧县姚官屯乡姚官屯村,沧县姚官屯乡姚官屯村,13090221,2015/1/14 11:11,2015/1/14 11:11,中国银行,272,3670000,13492.64706
河北省,沧州市沧县薛官屯乡薛官屯村,沧县薛官屯村,13090222,2015/1/14 11:13,2015/1/14 11:13,中国银行,204,1220000,5980.392157
河北省,沧州市沧县仵龙堂乡西后屯村,沧县薛官屯乡西合屯村,13090223,2015/1/14 11:15,2015/1/14 11:15,中国银行,204,5830000,28578.43137
甘肃省,武威市民勤县苏武乡三坝村,民勤县苏武乡三坝村,62060003,2015/1/14 11:28,2015/1/14 11:28,中国银行,205,9442.41,46.060537
安徽省,安庆市枞阳县Ou山镇大港村,铜陵枞阳县藕山镇大港村助农服务点,34080005,2015/1/14 11:31,2015/1/14 11:31,中国银行,547,366704,670.391225
河北省,沧州市沧县李天木回族乡北阁村,沧县李天木乡北阁村,13090227,2015/1/14 11:32,2015/1/14 11:32,中国银行,206,940000,4563.106796
甘肃省,武威市凉州区金羊镇新鲜村,凉州区金羊镇新鲜村,62060004,2015/1/14 11:32,2015/1/14 11:32,中国银行,441,300960.8,682.450794
甘肃省,武威市民勤县重兴乡下案村,民勤县重兴乡下案村,62060005,2015/1/14 11:37,2015/1/14 11:37,中国银行,23,90543.83,3936.688261
河南省,濮阳市濮阳县鲁河乡鲁河村,濮阳县鲁河镇助农金融,41090100,2015/1/14 11:40,2015/1/14 11:40,中国银行,231,194576.78,842.323723
河北省,沧州市沧县杜林回族乡韩正庄村,高新区韩正庄,13090233,2015/1/14 11:45,2015/1/14 11:45,中国银行,692,42860000,61936.41619
河南省,濮阳市濮阳县清河头乡东清河头村,濮阳县渠村助农金融,41090102,2015/1/14 11:52,2015/1/14 11:52,中国银行,930,4463546.81,4799.512699
河北省,沧州市沧县高川乡南北村,沧县高川乡南北村,13090236,2015/1/14 11:52,2015/1/14 11:52,中国银行,2,6,3
河南省,开封市兰考县三义寨乡三义寨东村,开封市兰考县三义寨乡三义寨村惠农支付服务点,41020034,2015/1/14 11:53,2015/1/14 11:53,中国银行,371,251268.83,677.274474
河南省,安阳市汤阴县五陵镇大宋村,中国银行大宋村肖江超助农取款服务点,41050044,2015/1/14 11:54,2015/1/14 11:54,中国银行,821,2739821.13,3337.175554
河北省,沧州市沧县崔尔庄镇李韩店村,李韩店,13090237,2015/1/14 11:54,2015/1/14 11:54,中国银行,0,0,\N
河南省,开封市通许县邸阁乡牌路村,开封市通许县邸阁乡排路村惠农支付服务点,41020036,2015/1/14 11:57,2015/1/14 11:57,中国银行,313,4580999.85,14635.78227
河北省,沧州市沧县薛官屯乡范庄子村,沧县纸房头乡窎庄村,13090238,2015/1/14 12:00,2015/1/14 12:00,中国银行,384,17190000,44765.625
河南省,开封市兰考县固阳镇黄口村,开封市兰考县堌阳镇黄口村惠农支付服务点,41020038,2015/1/14 12:01,2015/1/14 12:01,中国银行,390,620601.86,1591.286821
河北省,沧州市青县曹寺乡张广王村,青县曹寺镇张广王村,13090239,2015/1/14 12:15,2015/1/14 12:15,中国银行,1049,3840000,3660.629171
河北省,沧州市青县清州镇胡白庄村,青县清州镇胡白庄,13090240,2015/1/14 12:19,2015/1/14 12:19,中国银行,3087,8630000,2795.594428
河北省,沧州市青县曹寺乡后洼村,青县曹寺镇后屯村,13090241,2015/1/14 12:23,2015/1/14 12:23,中国银行,3772,1860000,493.107105
河北省,沧州市青县曹寺乡西艾辛庄村,青县曹寺镇西艾辛村,13090242,2015/1/14 12:25,2015/1/14 12:25,中国银行,1687,430000,254.890338
河北省,唐山市遵化市堡子店镇十八里村,遵化市堡子店镇十八里村,13020297,2015/1/14 12:25,2015/1/14 12:25,中国银行,70,2850000,40714.28571
河北省,唐山市玉田县散水头镇十里坨村,玉田县散水头镇十里坨村,13020298,2015/1/14 12:26,2015/1/14 12:26,中国银行,457,3290000,7199.124726
河北省,唐山市古冶区王辇庄乡石匠营村,古冶区王辇庄乡石匠营村,13020299,2015/1/14 12:27,2015/1/14 12:27,中国银行,326,1680000,5153.374233
河北省,沧州市青县马厂镇杨官店一村,青县马厂镇杨官店三村,13090244,2015/1/14 12:28,2015/1/14 12:28,中国银行,4657,5430000,1165.986687
河北省,唐山市滦县王店子镇高家庄村,滦县杨柳庄镇北高家庄村,13020301,2015/1/14 12:28,2015/1/14 12:28,中国银行,330,680000,2060.606061
河北省,唐山市乐亭县汀流河镇汀流河村,乐亭县汀流河镇现代通讯部,13020306,2015/1/14 12:32,2015/1/14 12:32,中国银行,101,660000,6534.653465
河北省,沧州市青县金牛镇康庄子村,青县金牛镇康庄子,13090246,2015/1/14 12:32,2015/1/14 12:32,中国银行,1450,2010000,1386.206897
河北省,沧州市青县木门店镇后董景村,青县木门店镇后董景,13090247,2015/1/14 12:35,2015/1/14 12:35,中国银行,3931,360000,91.579751
河北省,唐山市滦县古马镇西老里庄村,滦县小马庄镇西老里村,13020310,2015/1/14 12:39,2015/1/14 12:39,中国银行,286,370000,1293.706294
河南省,开封市通许县冯庄乡前山龙口村,开封市通许县冯庄乡前山龙口村惠农支付服务点,41020045,2015/1/14 12:54,2015/1/14 12:54,中国银行,456,4125386.85,9046.900987
河南省,开封市通许县孙营乡朱氏岗村,开封市通许县孙营乡朱氏岗村惠农支付服务点,41020047,2015/1/14 13:01,2015/1/14 13:01,中国银行,251,996282.61,3969.253426
河南省,周口市商水县邓城镇邓西村,周口市商水县邓城李真真助农金融,41160039,2015/1/14 13:01,2015/1/14 13:01,中国银行,383,1747018.63,4561.406345
河南省,周口市川汇区开发区康楼村,康书亚,41160041,2015/1/14 13:10,2015/1/14 13:10,中国银行,151,321577.11,2129.649735
安徽省,芜湖市繁昌县平铺镇平铺村,芜湖分行繁昌县平铺镇平铺村助农服务点,34020018,2015/1/14 13:10,2015/1/14 13:10,中国银行,132,196098.47,1485.59447
河南省,开封市开封县兴隆乡白石岗村,开封市祥符区兴隆乡白石岗村惠农支付服务点,41020051,2015/1/14 13:18,2015/1/14 13:18,中国银行,255,347127.04,1361.28251
河北省,唐山市玉田县潮洛窝乡湘子村,玉田县潮洛窝乡湘子村,13020315,2015/1/14 13:19,2015/1/14 13:19,中国银行,361,4040000,11191.13573
河南省,开封市金明区水稻乡南北堤村,开封市龙亭区水稻乡南北堤村惠农支付服务点,41020052,2015/1/14 13:20,2015/1/14 13:20,中国银行,657,1933929.32,2943.57583
河北省,唐山市遵化市遵化镇谢庄子村,遵化市遵化镇谢庄子村,13020316,2015/1/14 13:21,2015/1/14 13:21,中国银行,108,220000,2037.037037
河北省,唐山市丰润区丰润镇小屯村,丰润区丰润镇小屯村,13020318,2015/1/14 13:23,2015/1/14 13:23,中国银行,1786,4710000,2637.178052
河北省,唐山市丰润区泉河头镇白各庄村,丰润区泉河头镇白各庄村,13020319,2015/1/14 13:29,2015/1/14 13:29,中国银行,57,6330000,111052.6316
河北省,唐山市唐海县三农场三农场场社区,唐山市利丰制衣有限公司,13020320,2015/1/14 13:31,2015/1/14 13:31,中国银行,34,0,0
河南省,开封市尉氏县永兴镇东范庄村,开封市尉氏县永兴镇东范庄村惠农支付服务点,41020063,2015/1/14 13:47,2015/1/14 13:47,中国银行,210,23655.23,112.643952
河南省,开封市兰考县城关乡盆窑村,开封市兰考县城郊乡盆窑村惠农支付服务点,41020064,2015/1/14 13:47,2015/1/14 13:47,中国银行,260,378638.98,1456.303769
河南省,周口市西华县迟营乡前喜岗村,周口市西华县迟营乡前喜村助农服务点,41160049,2015/1/14 13:58,2015/1/14 13:58,中国银行,198,2049945.9,10353.26212
河南省,开封市兰考县谷营乡东张村,开封市兰考县谷营镇东张村服务点,41020070,2015/1/14 14:00,2015/1/14 14:00,中国银行,125,220.87,1.76696
河南省,开封市杞县葛岗镇晁村,开封市杞县葛岗镇晁村惠农支付服务点,41020071,2015/1/14 14:00,2015/1/14 14:00,中国银行,234,261276.89,1116.567906
河北省,唐山市遵化市娘娘庄乡丁各庄村,遵化市娘娘庄乡丁各庄村,13020322,2015/1/14 14:00,2015/1/14 14:00,中国银行,1155,2420000,2095.238095
河南省,开封市杞县葛岗镇楚东村,葛岗镇楚东村服务点,41020076,2015/1/14 14:03,2015/1/14 14:03,中国银行,64,6451.57,100.805781
河北省,唐山市丰南区南孙庄乡马新庄村,唐山市丰南区南孙庄乡马新庄村,13020323,2015/1/14 14:07,2015/1/14 14:07,中国银行,1141,3350000,2936.021034
河南省,开封市金明区杏花营镇横堤铺村,开封市金明区杏花营镇横堤铺村惠农服务点,41020082,2015/1/14 14:14,2015/1/14 14:14,中国银行,199,1994702.73,10023.63181
河南省,开封市兰考县孟寨乡何二庄村,开封市孟寨镇何二庄村惠农服务点,41020084,2015/1/14 14:14,2015/1/14 14:14,中国银行,79,0,0
河南省,开封市杞县平城乡白北村,开封市杞县平城乡白丘村惠农支付服务点,41020086,2015/1/14 14:16,2015/1/14 14:16,中国银行,471,1419774.15,3014.382484
河北省,唐山市开平区马家沟办事处新工村社区,开平丰泽,13020324,2015/1/14 14:17,2015/1/14 14:17,中国银行,181,275380000,1521436.464
河南省,开封市通许县竖岗镇南河口村,开封市通许县竖岗镇南河口村惠农支付服务点,41020089,2015/1/14 14:19,2015/1/14 14:19,中国银行,222,659411.01,2970.319865
河北省,唐山市乐亭县王滩镇赵滩村,唐山海港区王滩镇赵滩村,13020325,2015/1/14 14:21,2015/1/14 14:21,中国银行,111,2390000,21531.53153
河南省,开封市通许县竖岗镇,开封市通许县竖岗镇朴岗村惠农支付服务点,41020104,2015/1/14 14:31,2015/1/14 14:31,中国银行,200,456800.91,2284.00455
河北省,唐山市丰润区泉河头镇吴事庄村,唐山市丰润区泉河头镇吴事庄村,13020327,2015/1/14 14:31,2015/1/14 14:31,中国银行,1566,170000,108.556833
河北省,唐山市迁安市夏官营镇团新庄村,迁安市万信检测站,13020328,2015/1/14 14:32,2015/1/14 14:32,中国银行,6212,1170000,188.345138
河南省,开封市尉氏县大桥乡大李庄村,开封市尉氏县大桥乡大李庄村惠农支付服务点,41020106,2015/1/14 14:33,2015/1/14 14:33,中国银行,426,680886.19,1598.32439
河南省,开封市尉氏县十八里镇苏唐村,开封市尉氏县十八里镇苏堂村惠农支付服务点,41020109,2015/1/14 14:38,2015/1/14 14:38,中国银行,451,718622.73,1593.398514
河南省,开封市杞县裴村店乡吕东村,开封市杞县裴村店镇吕屯村惠农支付服务点,41020112,2015/1/14 14:40,2015/1/14 14:40,中国银行,700,4980066.87,7114.381243
河北省,唐山市乐亭县古河乡古河村,乐亭县古河乡古河村,13020329,2015/1/14 14:42,2015/1/14 14:42,中国银行,0,6500000,\N
河南省,开封市尉氏县庄头乡庄头村,开封市尉氏县庄头乡庄头村惠农支付服务点,41020117,2015/1/14 14:46,2015/1/14 14:46,中国银行,667,137478.69,206.114978
河北省,唐山市玉田县郭家屯乡郭家屯村,玉田县郭家屯乡郭家屯村,13020331,2015/1/14 14:47,2015/1/14 14:47,中国银行,945,3010000,3185.185185
河北省,沧州市南皮县潞灌乡龙堂村,龙堂,13090248,2015/1/14 14:48,2015/1/14 14:48,中国银行,156,2190000,14038.46154
河北省,唐山市丰润区姜家营乡西杨家营村,丰润王官营镇西杨家营村,13020332,2015/1/14 14:50,2015/1/14 14:50,中国银行,144,18810000,130625
河北省,沧州市南皮县潞灌乡北庄村,南皮县潞灌乡北庄村,13090249,2015/1/14 14:50,2015/1/14 14:50,中国银行,219,3840000,17534.24658
河南省,开封市通许县朱砂镇东寨村,东寨村网点,41020124,2015/1/14 14:51,2015/1/14 14:51,中国银行,0,0,\N
河北省,沧州市南皮县寨子镇大安家村,南皮县寨子镇大安村,13090250,2015/1/14 14:54,2015/1/14 14:54,中国银行,257,1300000,5058.365759
河南省,开封市通许县练城乡赵楼村,开封市通许县练城镇赵楼村惠农支付服务点,41020162,2015/1/20 17:55,2015/1/20 17:55,中国银行,313,1353561.33,4324.477093
河南省,开封市顺河区东郊乡张庄村,开封市顺河区东郊乡张庄村惠农支付服务点,41020133,2015/1/14 15:00,2015/1/14 15:00,中国银行,227,3424112.56,15084.1963
河北省,沧州市南皮县王寺镇李八拔村,南皮县王寺镇李八拨村,13090252,2015/1/14 15:03,2015/1/14 15:03,中国银行,237,2300000,9704.64135
甘肃省,兰州市榆中县金崖乡（镇）邴家湾村,榆中县金崖镇邴家湾村助农点,62010015,2015/1/14 15:04,2015/1/14 15:04,中国银行,30,14229.91,474.330333
河北省,沧州市南皮县大浪淀乡马四拨村,南皮县大浪淀乡马四拨村,13090253,2015/1/14 15:06,2015/1/14 15:06,中国银行,421,750000,1781.472684
河南省,南阳市唐河县张店镇白秋村,唐河县张店镇白秋村惠农支付服务点,41130033,2015/1/14 15:07,2015/1/14 15:07,中国银行,361,1046023.91,2897.573158
河南省,周口市扶沟县大李庄乡何家寨村,扶沟县大李庄乡何家寨村,41160059,2015/2/11 0:00,2015/1/14 15:13,中国银行,238,1398844,5877.495798
