,站点地址,站点名称,站点编号,NODE_PARTY_ID,站点加盟日期,银行业务签约日期,签约银行,站点卡数,站点余额,卡均余额,村名,户数,总人口数,标签
483,河北省唐山市滦南县胡各庄镇侯各庄村,滦南县胡各庄镇,13020044.0,600006851,2014/8/11 11:48,2014/8/11 11:48,中国银行,10456,7320000.0,700.076511,胡各庄村,10000,30000,正式运营
541,河北省邢台市南宫市紫冢镇后紫冢村,南宫市紫冢镇后紫冢村,13050010.0,600000123,2014/8/20 15:56,2014/8/20 15:56,中国银行,3216,18870000.0,5867.537313,后紫冢村,1200,5000,正式运营
552,河北省衡水市饶阳县饶阳镇罗屯村,饶阳县饶阳镇罗屯村,13110212.0,600000059,2014/8/25 13:32,2014/8/25 13:32,中国银行,2103,12040000.0,5725.154541,罗屯村,600,2900,正式运营
560,河北省唐山市滦南县宋道口镇司营村,滦南县宋道口镇司营村,13020054.0,600006853,2014/8/31 10:15,2014/8/31 10:15,中国银行,18953,31510000.0,1662.533636,司营村,400,1000,正式运营
562,贵州省贵阳市息烽县小寨坝镇亲戚寨村,亲戚寨村,52010006.0,600001322,2014/9/1 10:36,2014/9/1 10:36,贵阳银行,1,21.04,21.04,亲戚寨村,420,1800,正式运营
571,河北省沧州市青县流河镇东魏村,青县流河镇东魏村,13090157.0,600001305,2014/9/2 14:35,2014/9/2 14:35,中国银行,5144,1380000.0,268.273717,东魏村,450,2000,正式运营
572,河北省沧州市青县盘古乡大盘古村,青县盘古镇大盘古村,13090158.0,600001306,2014/9/2 0:00,2014/9/2 0:00,中国银行,7230,10560000.0,1460.580913,大盘古村,500,2300,正式运营
573,河北省沧州市青县木门店镇后吴召村,青县木门店镇后吴召,13090159.0,600001307,2014/9/2 16:04,2014/9/2 16:04,中国银行,4206,970000.0,230.62292,后吴召村,600,2500,正式运营
574,河北省沧州市青县曹寺乡厚召官村,青县曹寺镇厚召官,13090160.0,600001308,2014/9/2 16:09,2014/9/2 16:09,中国银行,2805,7520000.0,2680.926916,厚召官村,1300,300,正式运营
575,河北省沧州市青县木门店镇蔡村,青县木门店镇蔡村,13090163.0,600001310,2014/9/2 0:00,2014/9/2 0:00,中国银行,2125,1080000.0,508.235294,蔡村,200,1400,正式运营
576,河北省沧州市青县曹寺乡前洼村,青县曹寺镇前洼村,13090166.0,600001313,2014/9/2 0:00,2014/9/2 0:00,中国银行,3949,2880000.0,729.298557,前洼村,300,1000,正式运营
582,河北省唐山市迁安市闫家店乡于家坎村,迁安市闫家店乡于家坎村,13020058.0,600001444,2014/9/4 12:14,2014/9/4 12:14,中国银行,2193,390000.0,177.838577,于家坎村,703,2800,正式运营
600,河北省沧州市东光县大单镇木庄村,东光县大单镇穆庄村,13090168.0,600001726,2014/9/17 16:23,2014/9/17 16:23,中国银行,2998,4470000.0,1490.993996,穆庄,400,1670,正式运营
611,河北省唐山市滦南县马城镇马城村,滦南县马城镇马城村,13020064.0,600006854,2014/9/24 9:12,2014/9/24 9:12,中国银行,9795,1780000.0,181.72537,马城村,800,3200,正式运营
612,河北省唐山市滦南县柏各庄镇陈各庄村,滦南县柏各庄镇陈各庄村,13020065.0,600006855,2014/9/24 9:25,2014/9/24 9:25,中国银行,23937,10530000.0,439.90475,陈各庄,2500,10000,正式运营
625,河北省唐山市遵化市建明镇靠山庄村,遵化市建明圣地亚超市,13020072.0,600001449,2014/9/26 22:14,2014/9/26 22:14,中国银行,2961,18280000.0,6173.590003,靠山庄,3000,10000,正式运营
644,河北省沧州市青县流河镇广福楼村,青县流河镇广福楼村,13090175.0,600001764,2014/10/15 11:44,2014/10/15 11:44,中国银行,5097,3780000.0,741.612713,广福楼,500,1600,正式运营
699,河南省新乡市新乡县古固寨镇小古固寨村,新乡县古固寨镇富康社区程秀丽,41070003.0,600006400,2014/11/7 0:00,2015/1/1 11:48,中国银行,3095,9131211.77,2950.31075,古固寨,800,4000,正式运营
718,河南省商丘市睢阳区冯桥乡曹集村,商丘市睢阳区冯桥镇集曹集村助农点,41140013.0,600002630,2015/1/2 12:08,2015/1/2 12:08,中国银行,4897,23913657.13,4883.327982,冯桥镇曹集村,500,3000,正式运营
752,河南省商丘市夏邑县会亭镇东街村,夏邑县会亭镇东街村惠农支付服务点,41140045.0,600002657,2015/1/3 16:13,2015/1/3 16:13,中国银行,3,24115.68,8038.56,东街村,1000,5000,正式运营
780,河南省商丘市梁园区李庄乡邓斌口村,商丘市梁园区李庄乡邓斌口村幸福社区郝爱娟惠农支付服务点,41140060.0,600003354,2015/1/4 10:33,2015/1/4 10:33,中国银行,2842,1400802.67,492.893269,李庄乡邓斌口村,400,2000,正式运营
811,山东省烟台市海阳市二十里店镇西岚口村,烟台市海阳市里店镇西岚口村助农服务点,37060039.0,600004246,2015/1/4 11:24,2015/1/4 11:24,中国银行,0,230000.0,\N,西岚口村,400,1200,正式运营
821,山东省烟台市海阳市方圆街道秋林头村,烟台市海阳市方圆街道秋林头村助农服务点,37060045.0,600004252,2015/1/4 11:39,2015/1/4 11:39,中国银行,2,1904221.62,952110.81,秋林头村,700,2200,正式运营
822,河南省商丘市虞城县界沟镇界沟村,商丘分行虞城支行界沟镇界沟村惠农支付服务点,41140082.0,600007091,2015/1/4 11:41,2015/1/4 11:41,中国银行,2604,6051471.6,2323.913825,界沟村,1200,8000,正式运营
834,山东省济南市济阳县济阳镇高楼村,济阳县济阳街道办事处高楼村,37010014.0,600002863,2015/1/4 11:52,2015/1/4 11:52,中国银行,3490,15221798.19,4361.546759,高楼村,500,1500,正式运营
844,山东省济宁市微山县夏镇街道办事处部城社区居,济宁部城东村,37080005.0,600005217,2015/1/4 0:00,2015/1/4 0:00,中国银行,3,3066.18,1022.06,部城东村,500,2000,正式运营
855,河北省唐山市滦南县东黄坨镇郑庄子村,滦南县东黄坨镇,13020081.0,600006859,2015/1/4 12:21,2015/1/4 12:21,中国银行,2315,4620000.0,1995.680346,郑庄子村,300,900,正式运营
859,山东省济宁市汶上县义桥乡马庄西村,济宁市汶上县义桥镇马西村助农服务点,37080011.0,600005223,2015/1/4 0:00,2015/1/4 0:00,中国银行,5,124100.8,24820.16,马西村,850,3000,正式运营
864,山东省济宁市汶上县寅寺镇路楼村,济宁市汶上县次邱镇路楼村助农服务点,37080013.0,600005225,2015/1/4 0:00,2015/1/4 0:00,中国银行,0,1372658.69,\N,路楼村,400,1500,正式运营
876,河南省南阳市邓州市张村镇张北社区居,邓州市张村镇张村街袁苗助农金融,41130006.0,600002705,2015/1/4 13:20,2015/1/4 13:20,中国银行,2013,5540799.83,2752.508609,张北社区居,10000,50000,正式运营
886,山东省烟台市海阳市方圆街道儒家村,海阳市方圆街道办事处儒家助农服务点,37060063.0,600004268,2015/1/4 13:42,2015/1/4 13:42,中国银行,1,2711763.49,2711763.49,儒家村,300,780,正式运营
887,山东省烟台市海阳市方圆街道北石河村,海阳市方圆街道办事处北石河村助农服务点,37060064.0,600004269,2015/1/4 13:45,2015/1/4 13:45,中国银行,0,173617.0,\N,北石河村,230,600,正式运营
903,山东省淄博市博山区北博山镇邀兔村,淄博市博山区博山镇邀兔村,37030004.0,600004697,2015/1/4 14:01,2015/1/4 14:01,中国银行,0,15742569.95,\N,邀兔村,700,1800,正式运营
907,山东省济宁市汶上县次丘镇中店村,济宁市汶上县次邱镇中店村助农服务点,37080014.0,600005226,2015/1/4 0:00,2015/1/4 0:00,中国银行,0,1231865.56,\N,中店村,500,2000,正式运营
910,山东省济宁市汶上县次丘镇李太口村,济宁市汶上县次邱镇李太口村助农服务点,37080015.0,600005227,2015/1/4 0:00,2015/1/4 0:00,中国银行,0,2355620.0,\N,李太口,350,1300,正式运营
950,山东省青岛市即墨市蓝村镇二里村,山东省即墨市蓝村镇二里村助农服务点,37020009.0,600004053,2015/1/4 14:43,2015/1/4 14:43,中国银行,0,645600.0,\N,二里村,900,3000,正式运营
959,山东省济宁市任城区安居镇满营村,济宁市任城区安居镇满营村助农服务点,37080024.0,600005236,2015/1/4 0:00,2015/1/4 0:00,中国银行,1,1548.96,1548.96,满营村,400,1600,正式运营
962,山东省青岛市莱西市龙水街道办事处左家泊村,青岛市莱西市水集街道办事处左家泊村助农服务点,37020011.0,600004036,2015/2/5 0:00,2015/1/4 14:50,中国银行,0,3523333.1,\N,左家泊村,350,1000,正式运营
967,山东省青岛市即墨市灵山镇东三泉庄村,青岛市即墨市灵山镇东三泉庄村助农服务点,37020012.0,600004054,2014/12/21 0:00,2015/1/4 14:54,中国银行,0,245500.0,\N,东三泉庄村,300,1000,正式运营
969,山东省聊城市冠县北馆陶镇东关村,冠县清泉街道办事处东关村惠农金融服务站,37150045.0,600004981,2015/1/4 14:56,2015/1/4 14:56,中国银行,3,1282279.1,427426.3667,东关村,498,2000,正式运营
987,山东省济宁市鱼台县王鲁镇史楼村,济宁市鱼台县滨湖街道史楼助农服务点,37080029.0,600005241,2015/1/4 0:00,2015/1/4 0:00,中国银行,0,0.0,\N,史楼村,456,1700,正式运营
1005,山东省青岛市即墨市环秀街道小韩村,青岛市即墨市小韩村助农服务点,37020022.0,600004059,2014/12/24 0:00,2015/1/4 15:14,中国银行,0,495800.0,\N,小韩村,677,4000,正式运营
1022,山东省青岛市平度市仁兆镇大城西村,青岛市平度市仁兆镇大成西村助农服务点,37020025.0,600004042,2015/1/4 15:25,2015/1/4 15:25,中国银行,0,5609.61,\N,大城西村,650,2000,正式运营
1024,山东省青岛市即墨市北安街道营西村,青岛市即墨北安办事处营西村助农服务点,37020026.0,600004060,2015/1/4 15:26,2015/1/4 15:26,中国银行,0,2675800.0,\N,营西村,500,2000,正式运营
1038,山东省济宁市曲阜市时庄镇古柳村,山东省曲阜市鲁城街道古城助农服务点,37080035.0,600005247,2015/1/4 0:00,2015/1/4 0:00,中国银行,2,10000.0,5000,古城村,2000,6000,正式运营
1043,山东省济宁市曲阜市王庄乡刘庄村,济宁市曲阜市王庄乡刘庄村助农服务点,37080036.0,600005248,2015/1/4 0:00,2015/1/4 0:00,中国银行,4,2140008.42,535002.105,刘庄村,300,1380,正式运营
1051,山东省青岛市平度市兰底镇刘家西埠村,青岛市平度市南村镇刘家西埠村助农服务点,37020034.0,600004126,2015/1/4 15:42,2015/1/4 15:42,中国银行,0,667566.4,\N,刘家西埠村,300,1100,正式运营
1056,河南省商丘市虞城县杜集镇北街村,虞城杜集乡惠农支付服务点,41140191.0,600007195,2014/12/7 0:00,2015/1/4 15:44,中国银行,2260,4288103.92,1897.391115,北街村,11000,55000,正式运营
1058,山东省济宁市曲阜市董庄乡管村,济宁市曲阜市石门山镇管村助农服务点,37080039.0,600005251,2015/1/4 0:00,2015/1/4 0:00,中国银行,2,1489036.03,744518.015,管村,600,2000,正式运营
1065,山东省济宁市邹城市北宿镇前丁村,济宁市邹城市北宿镇丁村助农服务点,37080041.0,600005253,2015/1/4 0:00,2015/1/4 0:00,中国银行,0,91625.0,\N,前丁村,1100,5000,正式运营
1069,山东省青岛市平度市云山镇丈岭村,青岛市平度市云山镇丈岭村助农服务点,37020038.0,600004127,2015/1/4 15:52,2015/1/4 15:52,中国银行,0,1625474.26,\N,丈岭村,500,1700,正式运营
1070,山东省济宁市邹城市郭里镇郭南村,济宁市邹城市郭里镇生资门市部助农点,37080042.0,600005254,2015/1/4 0:00,2015/1/4 0:00,中国银行,0,1388256.24,\N,郭南村,800,3000,正式运营
1072,山东省济宁市邹城市张庄镇西柳峪村,济宁市邹城市看庄镇西柳村助农服务点,37080043.0,600005255,2015/1/4 0:00,2015/1/4 0:00,中国银行,0,443771.84,\N,西柳村,521,2890,正式运营
1075,山东省青岛市平度市云山镇后营村,青岛平度市云山镇后营村助农服务点,37020039.0,600004128,2015/1/4 15:56,2015/1/4 15:56,中国银行,0,2214893.96,\N,后营村,370,1200,正式运营
1080,山东省青岛市即墨市田横镇东陆戈庄村,青岛市即墨田横镇东陆戈庄村助农服务点,37020041.0,600004068,2015/1/4 15:59,2015/1/4 15:59,中国银行,0,2616600.0,\N,东陆戈庄村,800,2500,正式运营
1084,山东省青岛市即墨市田横镇宅科村,青岛市即墨田横镇宅科村助农服务点,37020043.0,600004069,2015/1/4 16:04,2015/1/4 16:04,中国银行,0,1484400.0,\N,宅科村,300,1000,正式运营
1094,山东省淄博市临淄区皇城镇五路口村,淄博市临淄区皇城镇五路口村,37030077.0,600004770,2015/1/4 16:12,2015/1/4 16:12,中国银行,0,0.0,\N,五路口村,600,2000,正式运营
