省,村名,站点,编号,签约时间,开业时间,银行,卡数,存款数,卡均
河北省,衡水市冀州市南午村镇王瓦窑,南午村镇王瓦窑村,13110001,2013/10/22 14:13,2013/7/6 0:00,中国银行,489,6079729.5,12432.98466
河北省,衡水市深州市穆村乡王庄村,穆村乡王庄,13110002,2013/10/22 16:53,2013/4/18 0:00,中国银行,593,7930522,13373.56155
河北省,衡水市饶阳县东里满乡固店,饶阳县东里满乡固店村,13110004,2013/10/28 14:15,2013/9/17 0:00,中国银行,391,3088561,7899.132992
河北省,衡水市饶阳县东里满乡小堤村,饶阳县东里满乡小堤村,13110005,2013/10/28 14:47,,中国银行,578,5065610.5,8764.032007
河北省,衡水市饶阳县东里满乡桑园,饶阳县东里满乡桑园村,13110006,2013/10/28 15:15,2013/7/14 0:00,中国银行,301,1605134.8,5332.673754
河北省,衡水市饶阳县五公镇北官庄村,饶阳县五公镇北官庄村,13110007,2013/10/28 15:37,2013/8/26 0:00,中国银行,354,4065627,11484.82203
河北省,衡水市饶阳县大官亭乡西张岗,饶阳县官亭镇西张岗村,13110008,2013/10/28 15:59,2013/7/17 0:00,中国银行,304,1456512.9,4791.160855
河北省,衡水市深州市唐奉镇赵八庄村,唐奉镇赵八庄,13110009,2013/10/28 16:57,,中国银行,1103,9996155,9062.697189
河北省,衡水市深州市太古庄乡郭庄村,高古庄镇郭庄,13110010,2013/10/28 17:18,2013/5/15 0:00,中国银行,348,2287492.8,6573.255172
河北省,衡水市冀州市西王镇水泊张,西王镇水泊张村,13110011,2013/10/29 9:21,2013/8/28 0:00,中国银行,229,948161.2,4140.441921
河北省,衡水市冀州市门庄乡东堤北村,门庄乡东堤北村,13110012,2013/10/29 9:35,2013/6/5 0:00,中国银行,1299,13059572,10053.55812
河北省,衡水市冀州市南午村镇孟岭,南午村镇孟岭村,13110014,2013/10/29 10:21,2013/8/27 0:00,中国银行,451,4248766,9420.767184
河北省,衡水市冀州市南午村镇田村,南午村镇田村,13110015,2013/10/29 10:45,2013/8/24 0:00,中国银行,418,5173044.5,12375.70455
河北省,衡水市冀州市西王镇西吕津,西王镇西吕津村,13110016,2013/10/29 11:01,2013/9/3 0:00,中国银行,832,9520839,11443.31611
河北省,衡水市枣强县马屯镇吉科村,马屯镇吉科村,13110017,2013/10/29 15:24,2013/9/18 0:00,中国银行,202,170672.31,844.912426
河北省,衡水市饶阳县大尹村镇大迁民,饶阳县大尹村镇大迁民庄,13110018,2013/10/29 16:32,2013/9/13 0:00,中国银行,389,4155279.8,10681.95321
河北省,衡水市饶阳县大尹村镇南流满村,饶阳县大尹村镇南流满村,13110019,2013/10/29 16:50,,中国银行,278,1085242.2,3903.748921
河北省,衡水市桃城区赵家圈镇前王家村,赵圈镇前王庄村,13110021,2013/10/30 10:05,,中国银行,203,6854262.5,33764.8399
河北省,衡水市武邑县赵桥镇夹河村,赵桥镇夹河村,13110022,2013/10/30 10:22,,中国银行,306,2261595.2,7390.833987
河北省,衡水市枣强县新屯乡新屯镇西岳庄,新屯镇西岳庄,13110023,2013/10/30 11:05,,中国银行,76,207239.56,2726.836316
河北省,衡水市枣强县马屯镇肖张镇张仓口,肖张镇张仓口,13110024,2013/10/30 11:28,2013/12/26 0:00,中国银行,93,751230.25,8077.744624
